step,time,x0,dx0,u0,x1,dx1,u1,x2,dx2,u2,x3,dx3,u3,x4,dx4,u4
0,0.0,0.0756213527174132,-0.28551026875981267,0.0,-0.2090993765922989,0.140901254921788,0.0,-0.1652254173567574,-0.31001900832241097,0.0,-0.9765869530559425,-0.2714322339388171,0.0,0.7198829530883608,-0.017613379729060786,0.0
1,0.05,0.06134583927942257,-0.27942198007373564,0.0,-0.2020543138462095,0.1521849131487108,0.0,-0.18072636777287793,-0.32056911664402704,0.0,-0.9901585647528833,-0.2675814898618152,0.0,0.7190022841019078,-0.025197347546626177,0.0
2,0.1,0.04737474027573579,-0.272830813142981,0.0,-0.19444506818877397,0.16376524755108937,0.0,-0.1967548236050793,-0.3307722009054173,0.0,-1.003537639245974,-0.2635723138686326,0.0,0.7177424167245765,-0.03252883097697888,0.0
3,0.15000000000000002,0.033733199618586736,-0.26571933777252493,0.0,-0.1862568058112195,0.1756160808613594,0.0,-0.21329343365035014,-0.34060876435377224,0.0,-1.0167162549394058,-0.25941288304189575,0.0,0.7161159751757276,-0.03959382659963687,0.0
4,0.2,0.02044723272996049,-0.2580712013731017,0.0,-0.17747600176815154,0.18770978997343885,0.0,-0.23032387186803877,-0.35005919260156326,0.0,-1.0296868990915005,-0.2551114863470839,0.0,0.7141362838457457,-0.04637842762809418,0.0
5,0.25,0.007543672661305406,-0.24987127761441985,0.0,-0.1680905122694796,0.20001739535435728,0.0,-0.24782683149811693,-0.3591038216496548,0.0,-1.0424424734088547,-0.2506765433368595,0.0,0.711817362464341,-0.05286887796745915,0.0
6,0.30000000000000004,-0.004949891219415588,-0.2411058258257515,0.0,-0.15808964250176175,0.21250867433862816,0.0,-0.2657820225805997,-0.36772300784810485,0.0,-1.0549763005756976,-0.24611662217819053,0.0,0.709173918565968,-0.059051623392786856,0.0
7,0.35000000000000003,-0.01700518251070316,-0.23176266003100357,0.0,-0.14746420878483033,0.2251522977415525,0.0,-0.28416817297300495,-0.37589719906192376,0.0,-1.067282131684607,-0.24144045689775429,0.0,0.7062213373963286,-0.06491335927599351,0.0
8,0.4,-0.028593315512253338,-0.22183132610590756,0.0,-0.1362065938977527,0.2379159885901142,0.0,-0.30296303292610116,-0.38360700635969097,0.0,-1.0793541545294947,-0.23665696373466555,0.0,0.702975669432529,-0.07044107438522235,0.0
9,0.45,-0.039684881817548714,-0.21130328511593047,0.0,-0.12431079446824699,0.2507667011252023,0.0,-0.3221433832440857,-0.39083327561306813,0.0,-1.091187002716228,-0.23177525648307917,0.0,0.6994536157132679,-0.07562209039387793,0.0
10,0.5,-0.05025004607334524,-0.2001721004441685,0.0,-0.11177245941198687,0.2636708176021432,0.0,-0.3416850470247391,-0.3975571584829751,0.0,-1.102775765540382,-0.2268046607006743,0.0,0.695672511193574,-0.08044409686499152,0.0
11,0.55,-0.060258651095553666,-0.18843362586110887,0.0,-0.0985889185318797,0.27659435983483244,0.0,-0.3615629049488879,-0.4037601823711222,0.0,-1.1141159985754157,-0.22175472665243615,0.0,0.6916503063503244,-0.08489518161740386,0.0
12,0.6000000000000001,-0.06968033238860911,-0.17608619123804767,0.0,-0.08475920054013808,0.2895032119188464,0.0,-0.381750914067444,-0.40942431903092436,0.0,-1.1252037349080375,-0.2166352408524618,0.0,0.6874055472694542,-0.08896385653036194,0.0
13,0.65,-0.0784846419505115,-0.16313078218138863,0.0,-0.07028403994419576,0.3023633501556874,0.0,-0.4022221300189902,-0.414532051656465,0.0,-1.1360354969506605,-0.21145623605967126,0.0,0.6829573544429361,-0.09263907899915727,0.0
14,0.7000000000000001,-0.08664118105958094,-0.14957120948683952,0.0,-0.055165872436411384,0.31514107590522694,0.0,-0.4229487326018135,-0.4190664403988063,0.0,-1.146608308753644,-0.20622799957620558,0.0,0.6783254004929783,-0.09591026941281876,0.0
15,0.75,-0.09411974153392291,-0.13541426400346018,0.0,-0.039408818641150034,0.3278032469329654,0.0,-0.4439020546217538,-0.4230111863921015,0.0,-1.1569197087324543,-0.20096107968985577,0.0,0.6735298870223374,-0.0987673251819598,0.0
16,0.8,-0.10089045473409593,-0.12066985228146308,0.0,-0.02301865629450176,0.34031750280323075,0.0,-0.4650526139413589,-0.4263506945041143,0.0,-1.166967762716947,-0.19566629009397835,0.0,0.6685915207632395,-0.10120063199696631,0.0
17,0.8500000000000001,-0.10692394734816908,-0.10535110827839757,0.0,-0.006002781154340223,0.35265248000219795,0.0,-0.4863701486665646,-0.42907013515332126,0.0,-1.1767510772216458,-0.19035471210993796,0.0,0.6635314891633911,-0.10320107314011921,0.0
18,0.9,-0.11219150276208896,-0.08947447643814749,0.0,0.011629842845769674,0.36477801275150856,0.0,-0.5078236554242307,-0.43115550565420646,0.0,-1.1862688128271428,-0.18503769452810437,0.0,0.6583714355063851,-0.10476003780636528,0.0
19,0.9500000000000001,-0.11666522658399633,-0.07305976165520843,0.0,0.029868743483345103,0.3766653158829681,0.0,-0.529381430706941,-0.4325936916600704,0.0,-1.195520697553548,-0.17972685087381274,0.0,0.6531334336160668,-0.10586942950271543,0.0
20,1.0,-0.12031821466675675,-0.0561301420073668,0.0,0.048702009277493505,0.38828714666935743,0.0,-0.5510111152899445,-0.43337252936511833,0.0,-1.2045070400972386,-0.1744340538945096,0.0,0.647839962140931,-0.1065216756921962,0.0
21,1.05,-0.12312472176712509,-0.03871214069104737,0.0,0.06811636661096138,0.39961794312241444,0.0,-0.5726797417582005,-0.4334808692011374,0.0,-1.2132287427919641,-0.16917142705369123,0.0,0.6425138783563211,-0.10670973992147086,0.0
22,1.1,-0.12506032880167747,-0.02083555432508403,0.0,0.0880972637670821,0.41063393694916284,0.0,-0.5943537852182573,-0.4329086418150854,0.0,-1.2216873141446487,-0.16395133280642296,0.0,0.6371783913602476,-0.10642713771828502,0.0
23,1.1500000000000001,-0.12610210651793166,-0.002533335691106295,0.0,0.10862896061454025,0.42131324007234044,0.0,-0.6159992173090116,-0.4316469271386126,0.0,-1.2298848807849698,-0.15878635742058306,0.0,0.6318570344743333,-0.10566795756238168,0.0
24,1.2000000000000002,-0.12622877330248697,0.0161585699672485,0.0,0.12969462261815728,0.43163590433966653,0.0,-0.6375815636659423,-0.4296880273551063,0.0,-1.237824198655999,-0.15368929209800908,0.0,0.6265736365962142,-0.10442688821806771,0.0
25,1.25,-0.12542084480412455,0.035201434787970255,0.0,0.15127641783514062,0.4415839547413086,0.0,-0.6590659650336976,0.7729578000390254,1.2,-1.2455086632608994,-0.14867311014112583,0.0,0.6213522921853109,-0.1026992536647812,0.0
26,1.3,-0.12366077306472603,0.05455400271959085,0.0,0.17335561557220605,0.41962949226357343,0.0,-0.6204180750317464,0.7672647856059444,1.2,-1.2529423187679556,-0.14375093990427637,0.0,0.6162173295020718,-0.10048105677042293,0.0
27,1.35,-0.12093307292874649,0.07280740582183497,0.0,0.19433709018538473,0.39699651570387845,0.0,-0.5820548357514492,0.7624962491588098,1.2,-1.2601298657631694,-0.13893603326592752,0.0,0.6111932766635506,-0.09776903271759273,0.0
28,1.4000000000000001,-0.11729270263765473,0.08994010025251538,0.0,0.21418691597057865,0.3736885576767707,0.0,-0.5439300232935087,0.7585935003219964,1.2,-1.2670766674264657,-0.13424172935945874,0.0,0.606304825027671,-0.09459774924853757,0.0
29,1.4500000000000002,-0.11279569762502896,0.10593517763278064,0.0,0.23287134385441718,0.3497127051301995,0.0,-0.5060003482774089,0.7554988997644082,1.2,-1.2737887538944386,-0.12968043446095917,0.0,0.6015749375652442,-0.09100170260366519,0.0
30,1.5,-0.10749893874338992,0.1207797549027538,0.0,0.25035697911092714,0.3250800190387252,0.0,-0.4682254032891885,0.7531556927587909,1.2,-1.2802727756174865,-0.1252635917696917,0.0,0.5970248524350609,-0.08701530657770418,0.0
31,1.55,-0.10145995099825222,0.13446436213394775,0.0,0.2666109800628634,0.2998059554448737,0.0,-0.43056761865124893,0.7515078451841573,1.2,-1.2865359552059712,-0.12100165247300146,0.0,0.5926740871061756,-0.08267289263658001,0.0
32,1.6,-0.09473673289155483,0.1469823437116459,0.0,0.2816012778351071,0.273910776264217,0.0,-0.39299222639204107,0.7504998856807785,1.2,-1.2925860378296212,-0.11690404849643078,0.0,0.5885404424743467,-0.07800871693235177,0.0
33,1.6500000000000001,-0.08738761570597253,0.1583292860540474,0.0,0.2952968166483179,0.24741993643660043,0.0,-0.35546723210800213,0.7500767572680863,1.2,-1.2984312402544427,-0.11297916735657515,0.0,0.5846400066277291,-0.07305697059525176,0.0
34,1.7000000000000002,-0.07947115140327016,0.16850248285778166,0.0,0.30766781347014793,0.22036443231067226,0.0,-0.3179633942445978,0.7501836813346903,1.2,-1.3040801986222714,-0.10923432954250864,0.0,0.5809871580979665,-0.06785179022434978,0.0
35,1.75,-0.07104602726038108,0.17750044683270236,0.0,0.31868603508568155,0.19278109473752725,0.0,-0.28045421017786326,0.7507660365143688,1.2,-1.3095419150993968,-0.1056757688512096,0.0,0.5775945685867491,-0.06242726602961889,0.0
36,1.8,-0.062171004918745956,0.18532247506442387,0.0,0.3283250898225579,0.16471280938735833,0.0,-0.24291590835214483,0.7517692545768514,1.2,-1.3148257035419573,-0.1023086160932181,0.0,0.5744732052852681,-0.05681744558976098,0.0
37,1.85,-0.05290488116552476,0.1919682735459091,0.0,0.33656073029192585,0.13620864646622566,0.0,-0.20532744562330224,0.7531387350896743,1.2,-1.319941134346618,-0.09913688656675351,0.0,0.5716323330057801,-0.05105633167618898,0.0
38,1.9000000000000001,-0.043306467488229305,0.19743764505171454,0.0,0.34337116261523715,0.10732388247103784,0.0,-0.1676705088688185,0.7548197802479342,1.2,-1.3248979786749557,-0.09616347167179921,0.0,0.5690795164219706,-0.04517787304992061,0.0
39,1.9500000000000002,-0.03343458523564358,0.20173024337369233,0.0,0.34873735673878903,0.07811989803222534,0.0,-0.12992951985642182,0.756757550922011,1.2,-1.3297061522585456,-0.09339013500042515,0.0,0.5668206227694746,-0.039215947561752264,0.0
40,2.0,-0.02334807306695896,0.20484539596407186,0.0,0.3526433516404003,0.04866393836832782,0.0,-0.09209164231032127,0.7588970446384982,1.2,-1.334375659008567,-0.09081751319615669,0.0,0.564859825391387,-0.03320433727448307,0.0
41,2.0500000000000003,-0.013105803268755366,0.20678199619964444,0.0,0.35507654855881665,0.01902872646739775,0.0,-0.05414679007839636,0.761183095885781,1.2,-1.3389165346683747,-0.08844512182394831,0.0,0.5631996085276628,-0.02717669567692501,0.0
42,2.1,-0.0027667034587731433,0.2075384657416488,0.0,0.35602798488218657,-0.010708076210372843,0.0,-0.016087635284107303,0.7635603988223882,1.2,-1.3433387907595722,-0.08627136643383287,0.0,0.5618407737438166,-0.021166507370791395,0.0
43,2.15,0.0076102198283092976,0.2071127867695785,0.0,0.3554925810716679,-0.04046456106786967,0.0,0.02209038465701211,0.7659735521632596,1.2,-1.347652359081264,-0.08429355893630135,0.0,0.560782448375277,-0.015207040881068298,0.0
44,2.2,0.017965859166788223,0.20550260316388533,0.0,0.3534693530182744,-0.0701554089136076,0.0,0.06038906226517509,0.7683671257269986,1.2,-1.351867037028079,-0.08250793933680393,0.0,0.5600220963312236,-0.00933129546583143,0.0
45,2.25,0.02824098932498249,0.2027053889566912,0.0,0.349961582572594,-0.09969285807180123,0.0,0.09880741855152503,0.7706857478473099,1.2,-1.3559924339949192,-0.08090970280149483,0.0,0.559555531557932,-0.0035719429803261118,0.0
46,2.3000000000000003,0.03837625877281705,0.19871868152231503,0.0,0.34497693966900395,-0.1289877835987142,0.0,0.13734170594389053,0.7728742125863457,1.2,-1.3600379191349938,-0.07949303194770826,0.0,0.5593769344089157,0.0020387340198257356,0.0
